MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
993086011,2022-12-08T00:00:10,32.02398,-81.04878,0,308.1,511,SCREECH,IMO0000000,SCREECH,37,,0,0,,,B
993086011,2022-12-08T00:03:10,32.02376,-81.04857,0,141.4,511,SCREECH,IMO0000000,SCREECH,37,,0,0,,,B
993086011,2022-12-08T00:01:40,32.02402,-81.04883,0.3,158.8,511,SCREECH,IMO0000000,SCREECH,37,,0,0,,,B
993086011,2022-12-08T00:04:11,32.02377,-81.04859,0,141.4,511,SCREECH,IMO0000000,SCREECH,37,,0,0,,,B
985346207,2022-12-08T00:00:05,29.68807,-91.2174,0,312,125,WD BASE,,WWDI5,90,15,0,0,0,90,A
985346207,2022-12-08T00:01:17,29.68807,-91.2174,0.2,314.5,126,WD BASE,,WWDI5,90,15,0,0,0,90,A
985346207,2022-12-08T00:03:27,29.68808,-91.2174,0,310.5,126,WD BASE,,WWDI5,90,15,0,0,0,90,A
985346207,2022-12-08T00:02:26,29.68807,-91.2174,0,319,125,WD BASE,,WWDI5,90,15,0,0,0,90,A
985346207,2022-12-08T00:04:37,29.68808,-91.2174,0,295.8,126,WD BASE,,WWDI5,90,15,0,0,0,90,A
985346207,2022-12-08T00:05:46,29.68807,-91.2174,0,308.3,125,WD BASE,,WWDI5,90,15,0,0,0,90,A
985346207,2022-12-08T00:06:55,29.68807,-91.2174,0,303.3,126,WD BASE,,WWDI5,90,15,0,0,0,90,A
983558331,2022-12-08T00:00:02,26.09755,-83.84681,17,29.2,511,CARNIVAL PARADISE R1,,,,15,,,,51,A
983558331,2022-12-08T00:02:56,26.1095,-83.83926,17,29,511,CARNIVAL PARADISE R1,,,,15,,,,51,A
941210479,2022-12-08T00:02:44,39.75215,-74.11118,1.5,360,511,,,,,,,,,,B
941210479,2022-12-08T00:05:45,39.75226,-74.11132,0.8,296.3,511,,,,,,,,,,B
871430052,2022-12-08T00:03:45,25.77903,-80.18625,0,65.4,511,ORBC BETA L00N,IMO0000000,,30,,0,0,,,B
868233290,2022-12-08T00:00:05,30.69307,-81.46025,0,302.4,511,VALKYRIE,,WDM7361,31,15,0,0,0,0,A
868233290,2022-12-08T00:01:07,30.69308,-81.46026,0.1,296,511,VALKYRIE,,WDM7361,31,15,0,0,0,0,A
868233290,2022-12-08T00:02:17,30.6931,-81.46025,0,305.3,511,VALKYRIE,,WDM7361,31,15,0,0,0,0,A
868233290,2022-12-08T00:04:37,30.6931,-81.46019,0,318.7,511,VALKYRIE,,WDM7361,31,15,0,0,0,0,A
868233290,2022-12-08T00:03:27,30.69309,-81.46022,0,315.1,511,VALKYRIE,,WDM7361,31,15,0,0,0,0,A
868233290,2022-12-08T00:05:47,30.69308,-81.46022,0.1,304.4,511,VALKYRIE,,WDM7361,31,15,0,0,0,0,A
868233290,2022-12-08T00:06:57,30.6931,-81.46021,0.1,303.1,511,VALKYRIE,,WDM7361,31,15,0,0,0,0,A
799999999,2022-12-08T00:00:04,49.25575,-122.9961,0,360,255,LA DORE,IMO0000000,,36,15,12,6,5,40,A
799999999,2022-12-08T00:01:13,49.25576,-122.99614,0,360,255,LA DORE,IMO0000000,,36,15,12,6,5,40,A
